date,open,high,low,close,volume,amount,turnover
2025-05-28,3.65,3.67,3.56,3.59,26981825.0,97090719.0,0.019212447284598002
2025-05-29,3.59,3.7,3.59,3.68,21205051.0,77671585.0,0.015099087052292131
2025-05-30,3.69,3.7,3.61,3.63,17250175.0,62779633.0,0.012283011910335581
2025-06-03,3.63,3.9,3.6,3.74,50543521.0,190567569.0,0.03598958679742649
2025-06-04,3.73,4.09,3.7,3.87,80316068.0,313412714.0,0.057189171694508746
2025-06-05,3.88,3.89,3.77,3.82,48837431.0,185900260.0,0.03477476295998111
2025-06-06,3.8,3.82,3.76,3.77,27398100.0,103766937.0,0.019508856496850916
2025-06-09,3.77,3.88,3.77,3.85,30806025.0,117851425.0,0.021935474392874025
2025-06-10,3.85,3.85,3.73,3.77,26778800.0,101139026.0,0.019067883041447083
2025-06-11,3.76,3.81,3.75,3.76,18376631.0,69388523.0,0.01308510652470726
2025-06-12,3.75,3.77,3.71,3.73,16726044.0,62401045.0,0.011909803678211785
2025-06-13,3.72,3.73,3.65,3.67,24523305.0,90339454.0,0.017461854583839996
2025-06-16,3.67,3.73,3.65,3.69,14612298.0,54072137.0,0.010404707799855525
2025-06-17,3.69,3.71,3.64,3.66,14098475.0,51646697.0,0.010038839393952144
2025-06-18,3.64,3.67,3.59,3.6,16349390.0,58951696.0,0.011641606655974298
2025-06-19,3.59,3.63,3.53,3.55,18286051.0,65449249.0,0.013020608905475095
2025-06-20,3.55,3.59,3.53,3.54,17821850.0,63267496.0,0.012690073916016165
2025-06-23,3.5,3.61,3.48,3.59,18737386.0,66809193.0,0.013341982641135824
2025-06-24,3.59,3.65,3.58,3.64,16156102.0,58620405.0,0.011503975657672834
2025-06-25,3.66,3.67,3.61,3.66,22335510.0,81380616.0,0.015904032008569158
2025-06-26,3.67,3.68,3.62,3.63,22004300.0,80392517.0,0.015668193451869167
2025-06-27,3.63,3.66,3.59,3.6,22740444.0,82413497.0,0.016192365845466454
2025-06-30,3.6,3.69,3.59,3.64,28090811.0,102034237.0,0.02000210236035204
2025-07-01,3.66,3.99,3.61,3.89,125226034.0,478165862.0,0.08916737755449371
2025-07-02,3.86,3.86,3.74,3.78,82184600.0,310555868.0,0.05851966259160649
2025-07-03,3.79,3.85,3.75,3.83,60202384.0,228975020.0,0.04286719408368878
2025-07-04,3.96,4.58,3.94,4.14,239749972.0,1014153649.0,0.170714312265158
2025-07-07,4.21,4.53,4.11,4.2,219111441.0,937552789.0,0.1560186165933848
2025-07-08,4.12,5.04,4.08,5.04,269991945.0,1274309604.0,0.19224815262046147
2025-07-09,5.49,5.8,5.2,5.34,478996243.0,2582674675.0,0.3410699635090656
2025-07-10,5.35,5.97,5.27,5.5,378262796.0,2127652382.0,0.26934256774234683
2025-07-11,5.35,5.48,4.96,5.0,291340191.0,1481539614.0,0.20744920187838342
2025-07-14,4.87,5.07,4.84,4.88,184722363.0,909609293.0,0.1315318241602959
2025-07-15,4.84,5.0,4.77,4.78,169512092.0,825657383.0,0.12070132882604963
2025-07-16,4.8,4.9,4.76,4.84,114049365.0,549202358.0,0.08120901432369294
2025-07-17,4.8,5.08,4.68,4.98,186478345.0,918246637.0,0.13278217366807393
2025-07-18,4.91,5.15,4.89,4.93,152976419.0,766242328.0,0.10892707909209537
2025-07-21,4.9,5.09,4.86,5.04,143511947.0,714683548.0,0.10218788819687039
2025-07-22,5.0,5.13,4.87,4.92,146510198.0,727689459.0,0.10432279713218122
2025-07-23,4.86,4.94,4.79,4.81,106357450.0,516648847.0,0.07573197518882684
2025-07-24,4.79,4.99,4.76,4.9,93853640.0,458863181.0,0.06682861930086784
2025-07-25,4.86,4.89,4.79,4.81,73327013.0,353432029.0,0.052212605033185575
2025-07-28,4.8,5.0,4.75,4.94,109143580.0,535700783.0,0.0777158430611089
2025-07-29,4.93,5.19,4.92,5.0,137194929.0,689228012.0,0.09768984644762412
2025-07-30,5.08,5.08,4.83,4.88,100611000.0,495110631.0,0.07164020720431956
2025-07-31,4.85,5.09,4.84,4.88,137896209.0,684398252.0,0.09818919387989539
2025-08-01,4.81,5.0,4.65,4.79,91605617.0,442800420.0,0.06522791129160369
2025-08-04,4.74,4.84,4.71,4.81,55840167.0,267072191.0,0.03976107119702425
2025-08-05,4.81,4.86,4.76,4.82,50691325.0,243231955.0,0.03609483084813295
2025-08-06,4.79,4.97,4.76,4.92,88255530.0,430655854.0,0.06284247702663766
2025-08-07,4.92,5.15,4.9,5.05,155441469.0,783794974.0,0.11068232148874194
2025-08-08,4.98,5.05,4.89,4.95,92087000.0,456964666.0,0.06557068074886618
2025-08-11,4.98,5.25,4.95,5.18,142250393.0,727219118.0,0.10128959685736041
2025-08-12,5.13,5.17,5.07,5.1,82632340.0,421249343.0,0.05883847650234848
2025-08-13,5.1,5.28,5.07,5.24,144376252.0,749763888.0,0.10280331781478223
2025-08-14,5.34,5.73,5.28,5.32,245509115.0,1336147786.0,0.17481511831856475
2025-08-15,5.36,6.38,5.34,6.38,267389947.0,1614244657.0,0.19039539620351675
2025-08-18,6.64,7.5,6.3,7.01,413867678.0,2757809508.0,0.29469507516166826
2025-08-19,6.94,7.1,6.52,6.57,285309107.0,1923153549.0,0.2031547598449412
2025-08-20,6.49,6.67,6.36,6.42,167517821.0,1084568627.0,0.11928130529321956
2025-08-21,6.38,6.45,6.15,6.23,159782392.0,999774107.0,0.11377328195209084
2025-08-22,6.23,6.75,6.17,6.48,239572810.0,1560935178.0,0.17058816380834183
